	BC-456	BC-457	BC-458	BC-459	BC-460	BC-461	BC-464	BC-465	BC-466	BC-467	BC-468	BC-469	BC-470	BC-471	BC-472	BC-473	BC-474	BC-475	BC-476	BC-477
A7B226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B224	1	1	1	1	1	1	1	1	1	1	0.556084213826383	1	1	1	1	1	1	1	1	1
A8B225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B226	1	1	1	1	1	1	1	1	0.933030818680281	1	1	1	1	1	1	1	1	1	1	1
A8B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B231	1	1	1	1	1	1	1	1	1	1	0.0000000000555794055687411	1	1	1	1	1	1	1	1	0.979574674871198
A8B232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B225	1	1	1	1	1	1	1	1	0.358858007184723	1	1	1	0.269143505388542	1	1	0.179429003592362	1	1	1	1
A9B226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B229	1	1	1	1	1	1	1	1	1	1	1	1	0.900806834361652	1	1	1	1	1	1	1
A9B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A1B237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
