	BC 57 PE+	BC 71 PE+	BC 81 PE+	RCC 19 PE+
A19B61	0.587377381486525	-2.64977036993735	-2.66379236340278	-2.59852566639326
A19B62	0.607883362763211	-4.10879920591547	-4.12447904453304	0.295716825714719
A19B63	-0.290873039708903	-3.52874416095681	-0.387883384584886	-0.081971811235926
A19B64	1.53794709541657	1.89997612319988	1.43588963615284	-3.1096116660233
A19B65	0.0886861514042168	-3.14892975977232	-3.16373120842058	-3.10026232126196
A19B66	-1.86494419261924	-1.87214980009276	1.27182877258448	-1.82232320679329
A19B67	6.66530903173592	6.37426031276711	7.08256910282947	3.39200237962168
A19B68	4.70733301846969	4.6773140961527	5.8175874600367	-0.00000000000000128137060152597
A19B69	4.66477795892031	-2.66660459742182	2.91882312134245	-2.60515679492542
A19B70	2.52476404707426	1.51380194422572	2.639271790756	-3.10493104272055
A19B71	2.4654042123342	-2.65144729726074	-2.66546945878918	-2.60032627758196
A19B72	3.44434220906868	3.21567405154893	2.93398268180792	0.791676102039717
A19B73	2.4654042123342	0.549483682020975	0.490617387756852	-2.60032627758196
A19B74	4.1497214962943	4.6773140961527	4.62890522704857	3.39200237962168
A19B75	4.1497214962943	0	3.15608684654603	-0.00000000000000128137060152597
A19B76	-2.65655773252103	-2.66491240594483	-2.67893665175554	-2.60335102998272
A19B77	-2.64309387852505	-2.65144729726074	-2.66546945878918	-2.60032627758196
A19B78	3.22879443386821	0	-0.00000000000000128137060152597	-0.00000000000000128137060152597
A19B79	-1.86494419261924	-1.87214980009276	-1.88425807396155	-1.82232320679329
A19B80	-1.66654843718184	-0.227634911333253	-4.92105534678291	-4.84556689971203
A19B81	-3.14010828246399	0.971342353382524	-0.00764436187454708	1.7820443235943
A19B82	-0.84385140304269	-4.08199322751059	-4.09766947869544	-0.625326070928412
A19B83	0.61428355878675	-3.54451590346714	-3.55974409754977	-3.48021099292037
A19B84	-1.0743822549765	-0.556464395967012	-5.24999883137866	-0.296407941720718
A20B61	-2.65824981802781	1.45366751573303	-2.68062901925464	-2.60515679492542
A20B62	-3.15468942928141	-3.16351215192699	-0.022228822734674	0.287071336901128
A20B63	-0.496753737701057	-0.535740710047711	-4.67200524151543	1.49675429696935
