	BC 57 PE+	BC 71 PE+	BC 81 PE+	RCC 19 PE+
A19B61	1	1	1	1
A19B62	1	1	1	1
A19B63	1	1	1	1
A19B64	1	1	1	1
A19B65	1	1	1	1
A19B66	1	1	1	1
A19B67	0.000209218146591527	0.00254050606575425	0.00000720577623780341	1
A19B68	0.618715778994524	1	0.0241518492030219	1
A19B69	0.0000998164809287452	1	0.387354551685912	1
A19B70	0.618715778994524	1	0.387354551685912	1
A19B71	1	1	1	1
A19B72	0.117843825225513	0.410838371017362	0.387354551685912	1
A19B73	1	1	1	1
A19B74	1	1	0.610049833887043	1
A19B75	1	1	1	1
A19B76	1	1	1	1
A19B77	1	1	1	1
A19B78	1	1	1	1
A19B79	1	1	1	1
A19B80	1	1	1	1
A19B81	1	1	1	1
A19B82	1	1	1	1
A19B83	1	1	1	1
A19B84	1	1	0.81871848385035	1
A20B61	1	1	1	1
A20B62	1	1	1	1
A20B63	1	1	1	1
A20B64	1	1	1	1
A20B65	1	1	1	1
A20B66	1	1	1	1
A20B67	1	1	1	1
A20B68	1	1	1	1
A20B69	1	1	1	1
A20B70	1	1	1	1
A20B71	1	1	1	1
A20B72	1	1	1	1
A20B73	0.618715778994524	1	1	1
A20B74	1	1	1	1
A20B75	1	1	1	1
A20B76	1	1	1	1
A20B77	1	1	1	1
A20B78	1	1	1	1
A20B79	1	1	1	1
A20B80	1	1	1	1
A20B81	1	1	1	1
A20B82	1	1	1	1
A20B83	1	1	1	1
A20B84	1	1	1	1
A21B61	1	1	1	1
A21B62	1	1	1	1
A21B63	1	1	1	1
A21B64	1	1	1	1
A21B65	1	1	1	1
A21B66	1	1	1	1
A21B67	1	1	1	1
A21B68	1	1	1	1
A21B69	1	1	1	1
A21B70	1	1	1	1
A21B71	1	1	1	1
A21B72	1	1	0.610049833887043	1
A21B73	1	1	1	1
A21B74	1	1	1	1
A21B75	1	1	1	1
A21B76	1	1	1	1
A21B77	1	1	1	1
A21B78	1	1	1	1
A21B79	1	1	1	1
A21B80	1	1	1	1
A21B81	1	1	1	1
A21B82	1	1	1	1
A21B83	1	1	1	1
A21B84	1	1	1	1
A22B61	1	1	1	1
A22B62	1	1	1	1
A22B63	1	1	1	1
A22B64	1	1	1	1
A22B65	1	1	1	1
A22B66	1	1	1	1
A22B67	1	1	1	1
A22B68	1	1	1	1
A22B69	1	1	1	1
A22B70	1	1	1	1
A22B71	1	1	1	1
A22B72	1	1	1	1
A22B73	1	1	1	1
A22B74	1	1	1	1
A22B75	1	1	1	1
A22B76	1	1	1	1
A22B77	1	1	1	1
A22B78	1	1	1	1
A22B79	1	1	1	1
A22B80	1	1	1	1
A22B81	1	1	1	1
A22B82	1	1	1	1
A22B83	1	1	1	1
A22B84	1	1	1	1
A23B61	1	1	1	1
A23B62	1	1	1	1
A23B63	1	1	1	1
A23B64	1	1	1	1
A23B65	1	1	1	1
A23B66	1	1	1	1
A23B67	1	1	1	1
A25B61	1	1	1	1
A25B62	1	1	1	1
A25B63	0.22102402772062	1	0.610049833887043	1
A25B64	1	1	1	1
A25B65	1	1	1	1
A25B66	1	1	1	1
A25B67	1	1	1	1
A26B61	1	1	1	1
A26B62	1	1	1	1
A26B63	1	1	1	1
