barcode	73	74	75	76	77	78	79	Peptide	HLA	RCC.sample
A23B67	1	0	0	0	0	0	0	126	C0702	RCC 19
A25B61	1	0	0	0	0	3	1	24	A0201	Virus
A25B62	1	1	0	0	2	2	1	13	A0201	Virus
A25B63	6	9	6	9	0	1	2	6	A0201	Virus
A25B64	0	0	0	0	0	0	1	16	A0201	Virus
A25B65	0	0	0	0	0	0	0	5	A0201	Virus
A25B66	0	0	0	0	0	0	1	10	A0201	Virus
A25B67	0	0	0	0	2	1	1	20	B0702	Virus
A26B61	0	1	1	0	2	1	5	3	A0201	Virus
A26B62	2	0	0	1	2	1	1	14	B0702	Virus
A26B63	5	0	2	1	2	2	5	21	B0702	Virus
