barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A1B61	BC 59 PE+	0	0	0	0	0	1	0	1	0	0	0	192	A0201	RCC 17
A1B62	BC 59 PE+	1	0	1	0	0.899304539742944	1	0	1	0	0.0220391863590385	0.0101990996199613	193	A0201	RCC 17
A1B63	BC 59 PE+	0	1	0	0	-1.97289197118605	1	0	1	0	0	0.0101990996199613	194	A0201	RCC 17
A1B64	BC 59 PE+	0	0	0	0	0	1	0	1	0	0	0	195	A0201	RCC 17
A1B65	BC 59 PE+	0	2	1	0	-3.2893367972176	1	0	1	0	0	0.0305972988598839	196	A0201	RCC 17
A1B66	BC 59 PE+	1	0	3	1	-0.794806476916043	1	0	1	0	0.0220391863590385	0.0407963984798452	197	A0201	RCC 17
A1B67	BC 59 PE+	1	0	1	1	0.0958641105785291	1	0	1	0	0.0220391863590385	0.0203981992399226	198	A0201	RCC 17
A1B68	BC 59 PE+	0	1	1	0	-2.77633240035046	1	0	1	0	0	0.0203981992399226	199	A0201	RCC 17
A1B69	BC 59 PE+	0	0	2	3	-3.96603462261566	1	0	1	0	0	0.0509954980998065	200	A0201	RCC 17
A1B70	BC 59 PE+	0	0	0	0	0	1	0	1	0	0	0	201	A0201	RCC 17
A1B71	BC 59 PE+	0	2	3	3	-4.60906573593323	1	0	1	0	0	0.0815927969596904	202	A0201	RCC 17
A1B72	BC 59 PE+	0	0	0	2	-2.77633240035046	1	0	1	0	0	0.0203981992399226	203	A0201	RCC 17
A1B73	BC 59 PE+	0	0	1	1	-2.77633240035046	1	0	1	0	0	0.0203981992399226	204	A0201	RCC 17
A1B74	BC 59 PE+	0	0	1	0	-1.97289197118605	1	0	1	0	0	0.0101990996199613	205	A0201	RCC 17
A1B75	BC 59 PE+	1	0	0	0	2.87219651092899	1	0	1	0	0.0220391863590385	0	206	A0201	RCC 17
A1B76	BC 59 PE+	1	1	1	1	-0.417140286288605	1	0	1	0	0.0220391863590385	0.0305972988598839	207	A0201	RCC 17
A1B77	BC 59 PE+	0	0	1	0	-1.97289197118605	1	0	1	0	0	0.0101990996199613	208	A0201	RCC 17
A1B78	BC 59 PE+	0	0	3	0	-3.2893367972176	1	0	1	0	0	0.0305972988598839	209	A0201	RCC 17
A1B79	BC 59 PE+	0	0	1	0	-1.97289197118605	1	0	1	0	0	0.0101990996199613	210	A0201	RCC 17
A1B80	BC 59 PE+	0	0	1	0	-1.97289197118605	1	0	1	0	0	0.0101990996199613	211	A0201	RCC 17
A1B81	BC 59 PE+	0	0	0	0	0	1	0	1	0	0	0	212	A0201	RCC 17
A1B82	BC 59 PE+	2	1	0	1	0.993818067602222	1	0	1	0	0.044078372718077	0.0203981992399226	213	A0201	RCC 17
A1B83	BC 59 PE+	0	0	2	2	-3.66700298784503	1	0	1	0	0	0.0407963984798452	214	A0201	RCC 17
A1B84	BC 59 PE+	0	1	2	3	-4.21360031851183	1	0	1	0	0	0.0611945977197678	215	A0201	RCC 17
A2B61	BC 59 PE+	0	0	0	1	-1.97289197118605	1	0	1	0	0	0.0101990996199613	216	A0201	RCC 17
A2B62	BC 59 PE+	0	0	0	0	0	1	0	1	0	0	0	217	A0201	RCC 17
A2B63	BC 59 PE+	0	1	0	1	-2.77633240035046	1	0	1	0	0	0.0203981992399226	218	A0201	RCC 17
A2B64	BC 59 PE+	0	0	1	1	-2.77633240035046	1	0	1	0	0	0.0203981992399226	219	A0201	RCC 17
A2B65	BC 59 PE+	0	0	1	0	-1.97289197118605	1	0	1	0	0	0.0101990996199613	220	A0201	RCC 17
A2B66	BC 59 PE+	0	0	0	0	0	1	0	1	0	0	0	221	A0201	RCC 17
A2B67	BC 59 PE+	0	0	0	1	-1.97289197118605	1	0	1	0	0	0.0101990996199613	222	A0201	RCC 17
A2B68	BC 59 PE+	0	1	0	0	-1.97289197118605	1	0	1	0	0	0.0101990996199613	223	A0201	RCC 17
A2B69	BC 59 PE+	1	1	0	0	0.899304539742944	1	0	1	0	0.0220391863590385	0.0101990996199613	224	A0201	RCC 17
A2B70	BC 59 PE+	2	0	0	1	1.79725849676664	1	0	1	0	0.044078372718077	0.0101990996199613	225	A0201	RCC 17
A2B71	BC 59 PE+	1	0	1	0	0.899304539742944	1	0	1	0	0.0220391863590385	0.0101990996199613	226	A0201	RCC 17
A2B72	BC 59 PE+	1	0	1	0	0.899304539742944	1	0	1	0	0.0220391863590385	0.0101990996199613	227	A0201	RCC 17
A2B73	BC 59 PE+	4	1	0	1	1.93995410822708	1	0	1	0	0.088156745436154	0.0203981992399226	228	A0201	RCC 17
A2B74	BC 59 PE+	0	0	0	1	-1.97289197118605	1	0	1	0	0	0.0101990996199613	229	A0201	RCC 17
A2B75	BC 59 PE+	0	0	0	0	0	1	0	1	0	0	0	230	A0201	RCC 17
A2B76	BC 59 PE+	0	0	1	0	-1.97289197118605	1	0	1	0	0	0.0101990996199613	231	A0201	RCC 17
A2B77	BC 59 PE+	0	0	0	2	-2.77633240035046	1	0	1	0	0	0.0203981992399226	232	A0201	RCC 17
