barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A1B61	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	192	A0201	RCC 17
A1B62	BC 57 PE+	1	0	1	0	1.29545588352617	1	0	1	0	0.0259136862813421	0.00863789542711403	193	A0201	RCC 17
A1B63	BC 57 PE+	0	1	0	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	194	A0201	RCC 17
A1B64	BC 57 PE+	1	0	0	0	3.16992500144231	1	0	1	0	0.0259136862813421	0	195	A0201	RCC 17
A1B65	BC 57 PE+	1	2	1	0	0	1	0	1	0	0.0259136862813421	0.0259136862813421	196	A0201	RCC 17
A1B66	BC 57 PE+	0	0	3	1	-3.54432051622381	1	0	1	0	0	0.0345515817084561	197	A0201	RCC 17
A1B67	BC 57 PE+	2	0	1	1	1.42449782852791	1	0	1	0	0.0518273725626842	0.0172757908542281	198	A0201	RCC 17
A1B68	BC 57 PE+	0	1	1	0	-2.66296501272243	1	0	1	0	0	0.0172757908542281	199	A0201	RCC 17
A1B69	BC 57 PE+	0	0	2	3	-3.84130225398094	1	0	1	0	0	0.0431894771355701	200	A0201	RCC 17
A1B70	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	201	A0201	RCC 17
A1B71	BC 57 PE+	0	2	3	3	-4.48112668973662	1	0	1	0	0	0.0691031634169122	202	A0201	RCC 17
A1B72	BC 57 PE+	0	0	0	2	-2.66296501272243	1	0	1	0	0	0.0172757908542281	203	A0201	RCC 17
A1B73	BC 57 PE+	1	0	1	1	0.506959988719883	1	0	1	0	0.0259136862813421	0.0172757908542281	204	A0201	RCC 17
A1B74	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	205	A0201	RCC 17
A1B75	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	206	A0201	RCC 17
A1B76	BC 57 PE+	0	1	1	1	-3.16992500144231	1	0	1	0	0	0.0259136862813421	207	A0201	RCC 17
A1B77	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	208	A0201	RCC 17
A1B78	BC 57 PE+	1	0	3	0	0	1	0	1	0	0.0259136862813421	0.0259136862813421	209	A0201	RCC 17
A1B79	BC 57 PE+	1	0	1	0	1.29545588352617	1	0	1	0	0.0259136862813421	0.00863789542711403	210	A0201	RCC 17
A1B80	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	211	A0201	RCC 17
A1B81	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	212	A0201	RCC 17
A1B82	BC 57 PE+	0	1	0	1	-2.66296501272243	1	0	1	0	0	0.0172757908542281	213	A0201	RCC 17
A1B83	BC 57 PE+	0	0	2	2	-3.54432051622381	1	0	1	0	0	0.0345515817084561	214	A0201	RCC 17
A1B84	BC 57 PE+	2	1	2	3	0	1	0	1	0	0.0518273725626842	0.0518273725626842	215	A0201	RCC 17
A2B61	BC 57 PE+	2	0	0	1	2.2129937233342	1	0	1	0	0.0518273725626842	0.00863789542711403	216	A0201	RCC 17
A2B62	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	217	A0201	RCC 17
A2B63	BC 57 PE+	0	1	0	1	-2.66296501272243	1	0	1	0	0	0.0172757908542281	218	A0201	RCC 17
A2B64	BC 57 PE+	0	0	1	1	-2.66296501272243	1	0	1	0	0	0.0172757908542281	219	A0201	RCC 17
A2B65	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	220	A0201	RCC 17
A2B66	BC 57 PE+	1	0	0	0	3.16992500144231	1	0	1	0	0.0259136862813421	0	221	A0201	RCC 17
A2B67	BC 57 PE+	0	0	0	1	-1.87446911791614	1	0	1	0	0	0.00863789542711403	222	A0201	RCC 17
A2B68	BC 57 PE+	1	1	0	0	1.29545588352617	1	0	1	0	0.0259136862813421	0.00863789542711403	223	A0201	RCC 17
A2B69	BC 57 PE+	1	1	0	0	1.29545588352617	1	0	1	0	0.0259136862813421	0.00863789542711403	224	A0201	RCC 17
A2B70	BC 57 PE+	1	0	0	1	1.29545588352617	1	0	1	0	0.0259136862813421	0.00863789542711403	225	A0201	RCC 17
A2B71	BC 57 PE+	2	0	1	0	2.2129937233342	1	0	1	0	0.0518273725626842	0.00863789542711403	226	A0201	RCC 17
A2B72	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	227	A0201	RCC 17
A2B73	BC 57 PE+	2	1	0	1	1.42449782852791	1	0	1	0	0.0518273725626842	0.0172757908542281	228	A0201	RCC 17
A2B74	BC 57 PE+	0	0	0	1	-1.87446911791614	1	0	1	0	0	0.00863789542711403	229	A0201	RCC 17
A2B75	BC 57 PE+	1	0	0	0	3.16992500144231	1	0	1	0	0.0259136862813421	0	230	A0201	RCC 17
A2B76	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	231	A0201	RCC 17
A2B77	BC 57 PE+	2	0	0	2	1.42449782852791	1	0	1	0	0.0518273725626842	0.0172757908542281	232	A0201	RCC 17
A2B78	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	233	A0201	RCC 17
A2B79	BC 57 PE+	1	1	0	0	1.29545588352617	1	0	1	0	0.0259136862813421	0.00863789542711403	234	A0201	RCC 17
A2B80	BC 57 PE+	0	1	1	0	-2.66296501272243	1	0	1	0	0	0.0172757908542281	235	A0201	RCC 17
A2B81	BC 57 PE+	0	0	0	2	-2.66296501272243	1	0	1	0	0	0.0172757908542281	236	A0201	RCC 17
A2B82	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	237	A0201	RCC 17
A2B83	BC 57 PE+	0	1	1	1	-3.16992500144231	1	0	1	0	0	0.0259136862813421	238	A0201	RCC 17
A2B84	BC 57 PE+	0	2	1	0	-3.16992500144231	1	0	1	0	0	0.0259136862813421	239	A0201	RCC 17
A3B61	BC 57 PE+	0	0	1	2	-3.16992500144231	1	0	1	0	0	0.0259136862813421	240	A0201	RCC 17
A3B62	BC 57 PE+	0	0	2	0	-2.66296501272243	1	0	1	0	0	0.0172757908542281	241	A0201	RCC 17
A3B63	BC 57 PE+	0	1	0	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	242	A0201	RCC 17
A3B64	BC 57 PE+	0	1	0	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	243	A0201	RCC 17
A3B65	BC 57 PE+	0	2	1	0	-3.16992500144231	1	0	1	0	0	0.0259136862813421	244	A0201	RCC 17
A3B66	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	245	A0201	RCC 17
A3B67	BC 57 PE+	2	0	0	0	4.08746284125034	1	0	1	0	0.0518273725626842	0	246	A0201	RCC 17
A3B68	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	247	A0201	RCC 17
A3B69	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	248	A0201	RCC 17
A3B70	BC 57 PE+	1	0	2	0	0.506959988719883	1	0	1	0	0.0259136862813421	0.0172757908542281	249	A0201	RCC 17
A3B71	BC 57 PE+	9	0	1	0	4.31535544096388	0.0339720210283207	1.46887861576351	0.0339720210283207	1.46887861576351	0.233223176532079	0.00863789542711403	250	A0201	RCC 17
A3B72	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	251	A0201	RCC 17
A3B73	BC 57 PE+	1	0	0	0	3.16992500144231	1	0	1	0	0.0259136862813421	0	252	A0201	RCC 17
A3B74	BC 57 PE+	0	1	0	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	253	A0201	RCC 17
A3B75	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	254	A0201	RCC 17
A3B76	BC 57 PE+	2	1	0	0	2.2129937233342	1	0	1	0	0.0518273725626842	0.00863789542711403	255	A0201	RCC 17
A3B77	BC 57 PE+	0	1	0	0	-1.87446911791614	1	0	1	0	0	0.00863789542711403	256	A0201	RCC 17
A3B78	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	257	A0201	RCC 17
A3B79	BC 57 PE+	0	1	1	0	-2.66296501272243	1	0	1	0	0	0.0172757908542281	258	A0201	RCC 17
