barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A1B61	BC 69 PE+	0	0	0	0	0	1	0	1	0	0	0	192	A0201	RCC 17
A1B62	BC 69 PE+	0	0	1	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	193	A0201	RCC 17
A1B63	BC 69 PE+	0	1	0	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	194	A0201	RCC 17
A1B64	BC 69 PE+	1	0	0	0	3.87311145030254	1	0	1	0	0.0476114975349656	0	195	A0201	RCC 17
A1B65	BC 69 PE+	1	2	1	0	0.867749345242225	1	0	1	0	0.0476114975349656	0.0245149017604034	196	A0201	RCC 17
A1B66	BC 69 PE+	1	0	3	1	0.498342895820841	1	0	1	0	0.0476114975349656	0.0326865356805378	197	A0201	RCC 17
A1B67	BC 69 PE+	1	0	1	1	1.36556387157914	1	0	1	0	0.0476114975349656	0.0163432678402689	198	A0201	RCC 17
A1B68	BC 69 PE+	0	1	1	0	-2.5075475787234	1	0	1	0	0	0.0163432678402689	199	A0201	RCC 17
A1B69	BC 69 PE+	1	0	2	3	0.204502667772209	1	0	1	0	0.0476114975349656	0.0408581696006723	200	A0201	RCC 17
A1B70	BC 69 PE+	0	0	0	0	0	1	0	1	0	0	0	201	A0201	RCC 17
A1B71	BC 69 PE+	1	2	3	3	-0.430384704372161	1	0	1	0	0.0476114975349656	0.0653730713610757	202	A0201	RCC 17
A1B72	BC 69 PE+	0	0	0	2	-2.5075475787234	1	0	1	0	0	0.0163432678402689	203	A0201	RCC 17
A1B73	BC 69 PE+	1	0	1	1	1.36556387157914	1	0	1	0	0.0476114975349656	0.0163432678402689	204	A0201	RCC 17
A1B74	BC 69 PE+	0	0	1	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	205	A0201	RCC 17
A1B75	BC 69 PE+	0	0	0	0	0	1	0	1	0	0	0	206	A0201	RCC 17
A1B76	BC 69 PE+	0	1	1	1	-3.00536210506032	1	0	1	0	0	0.0245149017604034	207	A0201	RCC 17
A1B77	BC 69 PE+	1	0	1	0	2.13185457891429	1	0	1	0	0.0476114975349656	0.00817163392013446	208	A0201	RCC 17
A1B78	BC 69 PE+	0	0	3	0	-3.00536210506032	1	0	1	0	0	0.0245149017604034	209	A0201	RCC 17
A1B79	BC 69 PE+	0	0	1	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	210	A0201	RCC 17
A1B80	BC 69 PE+	0	0	1	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	211	A0201	RCC 17
A1B81	BC 69 PE+	0	0	0	0	0	1	0	1	0	0	0	212	A0201	RCC 17
A1B82	BC 69 PE+	0	1	0	1	-2.5075475787234	1	0	1	0	0	0.0163432678402689	213	A0201	RCC 17
A1B83	BC 69 PE+	0	0	2	2	-3.3747685544817	1	0	1	0	0	0.0326865356805378	214	A0201	RCC 17
A1B84	BC 69 PE+	1	1	2	3	-0.0394980164268195	1	0	1	0	0.0476114975349656	0.0490298035208068	215	A0201	RCC 17
A2B61	BC 69 PE+	0	0	0	1	-1.74125687138826	1	0	1	0	0	0.00817163392013446	216	A0201	RCC 17
A2B62	BC 69 PE+	0	0	0	0	0	1	0	1	0	0	0	217	A0201	RCC 17
A2B63	BC 69 PE+	0	1	0	1	-2.5075475787234	1	0	1	0	0	0.0163432678402689	218	A0201	RCC 17
A2B64	BC 69 PE+	0	0	1	1	-2.5075475787234	1	0	1	0	0	0.0163432678402689	219	A0201	RCC 17
A2B65	BC 69 PE+	0	0	1	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	220	A0201	RCC 17
A2B66	BC 69 PE+	0	0	0	0	0	1	0	1	0	0	0	221	A0201	RCC 17
A2B67	BC 69 PE+	0	0	0	1	-1.74125687138826	1	0	1	0	0	0.00817163392013446	222	A0201	RCC 17
A2B68	BC 69 PE+	0	1	0	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	223	A0201	RCC 17
A2B69	BC 69 PE+	1	1	0	0	2.13185457891429	1	0	1	0	0.0476114975349656	0.00817163392013446	224	A0201	RCC 17
A2B70	BC 69 PE+	0	0	0	1	-1.74125687138826	1	0	1	0	0	0.00817163392013446	225	A0201	RCC 17
A2B71	BC 69 PE+	0	0	1	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	226	A0201	RCC 17
A2B72	BC 69 PE+	0	0	1	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	227	A0201	RCC 17
A2B73	BC 69 PE+	0	1	0	1	-2.5075475787234	1	0	1	0	0	0.0163432678402689	228	A0201	RCC 17
A2B74	BC 69 PE+	0	0	0	1	-1.74125687138826	1	0	1	0	0	0.00817163392013446	229	A0201	RCC 17
A2B75	BC 69 PE+	0	0	0	0	0	1	0	1	0	0	0	230	A0201	RCC 17
A2B76	BC 69 PE+	0	0	1	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	231	A0201	RCC 17
A2B77	BC 69 PE+	0	0	0	2	-2.5075475787234	1	0	1	0	0	0.0163432678402689	232	A0201	RCC 17
A2B78	BC 69 PE+	0	0	1	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	233	A0201	RCC 17
A2B79	BC 69 PE+	0	1	0	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	234	A0201	RCC 17
A2B80	BC 69 PE+	0	1	1	0	-2.5075475787234	1	0	1	0	0	0.0163432678402689	235	A0201	RCC 17
A2B81	BC 69 PE+	0	0	0	2	-2.5075475787234	1	0	1	0	0	0.0163432678402689	236	A0201	RCC 17
A2B82	BC 69 PE+	0	0	0	0	0	1	0	1	0	0	0	237	A0201	RCC 17
A2B83	BC 69 PE+	0	1	1	1	-3.00536210506032	1	0	1	0	0	0.0245149017604034	238	A0201	RCC 17
A2B84	BC 69 PE+	0	2	1	0	-3.00536210506032	1	0	1	0	0	0.0245149017604034	239	A0201	RCC 17
A3B61	BC 69 PE+	0	0	1	2	-3.00536210506032	1	0	1	0	0	0.0245149017604034	240	A0201	RCC 17
A3B62	BC 69 PE+	0	0	2	0	-2.5075475787234	1	0	1	0	0	0.0163432678402689	241	A0201	RCC 17
A3B63	BC 69 PE+	0	1	0	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	242	A0201	RCC 17
A3B64	BC 69 PE+	1	1	0	0	2.13185457891429	1	0	1	0	0.0476114975349656	0.00817163392013446	243	A0201	RCC 17
A3B65	BC 69 PE+	0	2	1	0	-3.00536210506032	1	0	1	0	0	0.0245149017604034	244	A0201	RCC 17
A3B66	BC 69 PE+	0	0	1	0	-1.74125687138826	1	0	1	0	0	0.00817163392013446	245	A0201	RCC 17
A3B67	BC 69 PE+	3	0	0	0	5.39089507244661	0.718944980147477	0.143304344293948	0.718944980147477	0.143304344293948	0.142834492604897	0	246	A0201	RCC 17
A3B68	BC 69 PE+	1	0	1	0	2.13185457891429	1	0	1	0	0.0476114975349656	0.00817163392013446	247	A0201	RCC 17
A3B69	BC 69 PE+	0	0	0	0	0	1	0	1	0	0	0	248	A0201	RCC 17
A3B70	BC 69 PE+	1	0	2	0	1.36556387157914	1	0	1	0	0.0476114975349656	0.0163432678402689	249	A0201	RCC 17
A3B71	BC 69 PE+	4	0	1	0	4.05605404873961	0.718944980147477	0.143304344293948	0.718944980147477	0.143304344293948	0.190445990139862	0.00817163392013446	250	A0201	RCC 17
