barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A19B61	BC 57 PE+	1	1	0	1	-1.02215106135966	1	0	1	0	0.0150176479797844	0.0337344782194092	1	A0201	RCC 19
A19B62	BC 57 PE+	3	0	1	5	-1.10642245075563	1	0	1	0	0.0450529439393531	0.0901986796416249	2	A0201	RCC 19
A19B63	BC 57 PE+	1	2	1	1	-1.95717110975188	1	0	1	0	0.0150176479797844	0.0729713339471199	3	A0201	RCC 19
A19B64	BC 57 PE+	3	0	1	2	-0.181843697518003	1	0	1	0	0.0450529439393531	0.0478505285749631	4	A0201	RCC 19
A19B65	BC 57 PE+	1	2	1	0	-1.57737745636596	1	0	1	0	0.0150176479797844	0.058855283591566	5	A0201	RCC 19
A19B66	BC 57 PE+	0	0	0	1	-2.39998906846947	1	0	1	0	0	0.0141160503555539	6	A0201	RCC 19
A19B67	BC 57 PE+	12	0	0	0	5.51597580803445	0.0319531102287767	1.49548686240531	0.0319531102287767	1.49548686240531	0.180211775757412	0	7	A0201	RCC 19
A19B68	BC 57 PE+	3	0	0	0	3.6075893022704	1	0	1	0	0.0450529439393531	0	8	A0201	RCC 19
A19B69	BC 57 PE+	19	0	1	1	2.90331859280783	0.04740394019139	1.32418555848922	0.04740394019139	1.32418555848922	0.285335311615903	0.0337344782194092	9	A0201	RCC 19
A19B70	BC 57 PE+	6	1	1	1	0.742915593688777	1	0	1	0	0.0901058878787062	0.0533529060832646	10	A0201	RCC 19
A19B71	BC 57 PE+	4	1	1	0	0.713379769784739	1	0	1	0	0.0600705919191375	0.0392368557277107	11	A0201	RCC 19
A19B72	BC 57 PE+	8	1	1	0	1.66734097697404	1	0	1	0	0.120141183838275	0.0392368557277107	12	A0201	RCC 19
A19B73	BC 57 PE+	4	1	1	0	0.713379769784739	1	0	1	0	0.0600705919191375	0.0392368557277107	13	A0201	RCC 19
A19B74	BC 57 PE+	2	0	0	0	3.08062219942061	1	0	1	0	0.0300352959595687	0	14	A0201	RCC 19
A19B75	BC 57 PE+	2	0	0	0	3.08062219942061	1	0	1	0	0.0300352959595687	0	15	A0201	RCC 19
A19B76	BC 57 PE+	0	0	0	2	-3.24870652084397	1	0	1	0	0	0.0282321007111078	16	A0201	RCC 19
A19B77	BC 57 PE+	0	1	1	0	-3.27935096939701	1	0	1	0	0	0.0392368557277107	17	A0201	RCC 19
A19B78	BC 57 PE+	1	0	0	0	2.2418084685105	1	0	1	0	0.0150176479797844	0	18	A0201	RCC 19
A19B79	BC 57 PE+	0	0	0	1	-2.39998906846947	1	0	1	0	0	0.0141160503555539	19	A0201	RCC 19
A19B80	BC 57 PE+	1	5	2	4	-1.12946417192049	1	0	1	0	0.0349492473014886	0.0809196719619119	20	B0702	RCC 19
A19B81	BC 57 PE+	0	2	1	0	-3.03283711072851	1	0	1	0	0	0.0210443770703895	21	B0702	RCC 19
A19B82	BC 57 PE+	1	2	1	3	-0.312179236148025	1	0	1	0	0.0349492473014886	0.0466445799475292	22	B0702	RCC 19
A19B83	BC 57 PE+	2	1	2	1	1.15274284066158	1	0	1	0	0.0698984946029773	0.0365302131449856	23	B0702	RCC 19
A19B84	BC 57 PE+	2	7	2	5	-0.507793533017371	1	0	1	0	0.0698984946029773	0.0988477008908518	24	B0702	RCC 19
A20B61	BC 57 PE+	0	0	1	1	-2.57993397668112	1	0	1	0	0	0.0201831500595428	25	B0702	RCC 19
A20B62	BC 57 PE+	0	1	1	1	-3.06203025473464	1	0	1	0	0	0.0248804640444894	26	B0702	RCC 19
A20B63	BC 57 PE+	2	2	4	3	0.0177962359432173	1	0	1	0	0.0698984946029773	0.0815938272490178	27	B0702	RCC 19
A20B64	BC 57 PE+	1	0	1	1	1.08575019810052	1	0	1	0	0.0349492473014886	0.0201831500595428	28	B0702	RCC 19
A20B65	BC 57 PE+	1	0	1	0	1.86998796137613	1	0	1	0	0.0349492473014886	0.0116497491004962	29	B0702	RCC 19
A20B66	BC 57 PE+	0	0	1	0	-1.79569621340552	1	0	1	0	0	0.0116497491004962	30	B0702	RCC 19
A20B67	BC 57 PE+	0	0	1	1	-2.57993397668112	1	0	1	0	0	0.0201831500595428	31	B0702	RCC 19
A20B68	BC 57 PE+	0	0	1	1	-2.57993397668112	1	0	1	0	0	0.0201831500595428	32	B0702	RCC 19
A20B69	BC 57 PE+	0	1	0	0	-1.75351367311464	1	0	1	0	0	0.00469731398494665	33	B0702	RCC 19
A20B70	BC 57 PE+	1	0	0	0	3.66568417478164	1	0	1	0	0.0349492473014886	0	34	B0702	RCC 19
A20B71	BC 57 PE+	1	0	1	0	1.86998796137613	1	0	1	0	0.0349492473014886	0.0116497491004962	35	B0702	RCC 19
A20B72	BC 57 PE+	4	0	3	1	2.08318409443011	1	0	1	0	0.139796989205955	0.0434826482605352	36	B0702	RCC 19
A20B73	BC 57 PE+	3	0	0	0	5.17279507789453	0.475083056478405	0.323230458128782	0.475083056478405	0.323230458128782	0.104847741904466	0	37	B0702	RCC 19
A20B74	BC 57 PE+	1	0	0	0	3.66568417478164	1	0	1	0	0.0349492473014886	0	38	B0702	RCC 19
A20B75	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	39	B0702	RCC 19
A20B76	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	40	B0702	RCC 19
A20B77	BC 57 PE+	0	1	1	0	-2.54934222102478	1	0	1	0	0	0.0163470630854429	41	B0702	RCC 19
A20B78	BC 57 PE+	0	1	0	1	-2.53874343415059	1	0	1	0	0	0.0132307149439932	42	B0702	RCC 19
A20B79	BC 57 PE+	0	2	0	1	-3.02246259160998	1	0	1	0	0	0.0179280289289399	43	B0702	RCC 19
A20B80	BC 57 PE+	0	2	0	0	-2.50886615075066	1	0	1	0	0	0.00939462796989329	44	B0702	RCC 19
A20B81	BC 57 PE+	0	0	1	2	-3.09167161385684	1	0	1	0	0	0.0287165510185893	45	B0702	RCC 19
A20B82	BC 57 PE+	2	0	0	2	2.03855627774764	1	0	1	0	0.0698984946029773	0.0170668019180931	46	B0702	RCC 19
A20B83	BC 57 PE+	0	2	0	0	-2.50886615075066	1	0	1	0	0	0.00939462796989329	47	B0702	RCC 19
A20B84	BC 57 PE+	1	3	2	2	-0.515787097385912	1	0	1	0	0.0349492473014886	0.0544582420739255	48	B0702	RCC 19
A21B61	BC 57 PE+	0	1	3	1	-3.77089912541163	1	0	1	0	0	0.0481799622454818	49	B0702	RCC 19
A21B62	BC 57 PE+	0	2	2	2	-3.98810664213881	1	0	1	0	0	0.0497609280889788	50	B0702	RCC 19
A21B63	BC 57 PE+	1	4	1	2	-0.480367909576344	1	0	1	0	0.0349492473014886	0.0475058069583759	51	B0702	RCC 19
A21B64	BC 57 PE+	0	0	1	0	-1.79569621340552	1	0	1	0	0	0.0116497491004962	52	B0702	RCC 19
A21B65	BC 57 PE+	1	1	0	0	1.912170501667	1	0	1	0	0.0349492473014886	0.00469731398494665	53	B0702	RCC 19
A21B66	BC 57 PE+	0	0	1	2	-3.09167161385684	1	0	1	0	0	0.0287165510185893	54	B0702	RCC 19
A21B67	BC 57 PE+	1	1	0	0	1.912170501667	1	0	1	0	0.0349492473014886	0.00469731398494665	55	B0702	RCC 19
A21B68	BC 57 PE+	2	0	0	0	4.60769285704217	1	0	1	0	0.0698984946029773	0	56	B0702	RCC 19
A21B69	BC 57 PE+	1	1	0	1	1.12694074063105	1	0	1	0	0.0349492473014886	0.0132307149439932	57	B0702	RCC 19
A21B70	BC 57 PE+	1	0	1	0	1.08339704003941	1	0	1	0	0.0556921564876129	0.0453615216518186	81	C0401	RCC 19
A21B71	BC 57 PE+	0	1	0	1	-2.70434374088793	1	0	1	0	0	0.0362833172383835	82	C0401	RCC 19
A21B72	BC 57 PE+	0	0	0	1	-1.92670029537805	1	0	1	0	0	0.0226807608259093	83	C0401	RCC 19
A21B73	BC 57 PE+	1	0	0	0	3.03297795505354	1	0	1	0	0.0556921564876129	0	84	C0401	RCC 19
A21B74	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	85	C0401	RCC 19
A21B75	BC 57 PE+	0	0	1	1	-2.75479970188838	1	0	1	0	0	0.0680422824777279	86	C0401	RCC 19
A21B76	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	87	C0401	RCC 19
A21B77	BC 57 PE+	1	1	0	0	1.13490096946524	1	0	1	0	0.0556921564876129	0.0136025564124742	88	C0401	RCC 19
A21B78	BC 57 PE+	1	1	0	0	1.13490096946524	1	0	1	0	0.0556921564876129	0.0136025564124742	89	C0401	RCC 19
A21B79	BC 57 PE+	0	2	0	6	-4.55658502959348	1	0	1	0	0	0.163289677780404	90	C0401	RCC 19
A21B80	BC 57 PE+	0	5	1	2	-4.5113975319197	1	0	1	0	0	0.158735825366008	48	C0401	RCC 19
A21B81	BC 57 PE+	1	4	2	2	-1.52164021906127	1	0	1	0	0.0556921564876129	0.190494790605353	92	C0401	RCC 19
A21B82	BC 57 PE+	2	1	0	1	1.237696767099	1	0	1	0	0.111384312975226	0.0362833172383835	93	C0401	RCC 19
A21B83	BC 57 PE+	0	1	1	2	-3.63182599020703	1	0	1	0	0	0.104325599716111	94	C0401	RCC 19
A21B84	BC 57 PE+	0	2	0	1	-3.19797248182434	1	0	1	0	0	0.0498858736508577	95	C0401	RCC 19
A22B61	BC 57 PE+	3	0	1	2	1.22168244123267	1	0	1	0	0.167076469462839	0.0907230433036372	96	C0401	RCC 19
A22B62	BC 57 PE+	0	2	0	1	-3.19797248182434	1	0	1	0	0	0.0498858736508577	97	C0401	RCC 19
A22B63	BC 57 PE+	1	2	1	0	-0.187012770791906	1	0	1	0	0.0556921564876129	0.072566634476767	98	C0401	RCC 19
A22B64	BC 57 PE+	1	0	1	0	1.08339704003941	1	0	1	0	0.0556921564876129	0.0453615216518186	15	C0401	RCC 19
A22B65	BC 57 PE+	3	1	0	0	2.50364592266151	1	0	1	0	0.150308792505969	0.0167009769451076	93	C0702	RCC 19
A22B66	BC 57 PE+	0	2	0	1	-3.23495922682902	1	0	1	0	0	0.0583138339904363	81	C0702	RCC 19
A22B67	BC 57 PE+	0	0	0	2	-2.75126046120032	1	0	1	0	0	0.0498237602004421	94	C0702	RCC 19
A22B68	BC 57 PE+	0	0	0	0	1.28137060152597e-15	1	0	1	0	0	0	90	C0702	RCC 19
A22B69	BC 57 PE+	0	0	0	0	1.28137060152597e-15	1	0	1	0	0	0	104	C0702	RCC 19
A22B70	BC 57 PE+	2	0	0	0	3.8776839185646	1	0	1	0	0.100205861670646	0	105	C0702	RCC 19
A22B71	BC 57 PE+	0	0	1	1	-2.74648878291	1	0	1	0	0	0.0470486752233077	106	C0702	RCC 19
A22B72	BC 57 PE+	1	1	0	0	1.04672785513266	1	0	1	0	0.0501029308353229	0.0167009769451076	107	C0702	RCC 19
A22B73	BC 57 PE+	2	2	0	1	0.642724691735575	1	0	1	0	0.100205861670646	0.0583138339904363	96	C0702	RCC 19
A22B74	BC 57 PE+	1	1	0	0	1.04672785513266	1	0	1	0	0.0501029308353229	0.0167009769451076	109	C0702	RCC 19
A22B75	BC 57 PE+	0	1	1	0	-2.72830951655045	1	0	1	0	0	0.0388377720681943	110	C0702	RCC 19
A22B76	BC 57 PE+	0	0	0	0	1.28137060152597e-15	1	0	1	0	0	0	111	C0702	RCC 19
A22B77	BC 57 PE+	0	1	0	0	-1.92590831032577	1	0	1	0	0	0.0167009769451076	85	C0702	RCC 19
A22B78	BC 57 PE+	0	0	0	0	1.28137060152597e-15	1	0	1	0	0	0	88	C0702	RCC 19
A22B79	BC 57 PE+	0	2	1	0	-3.23036970972328	1	0	1	0	0	0.0555387490133019	114	C0702	RCC 19
A22B80	BC 57 PE+	0	0	1	3	-3.64993720757258	1	0	1	0	0	0.0968724354237498	115	C0702	RCC 19
A22B81	BC 57 PE+	0	4	2	1	-4.36007291596723	1	0	1	0	0	0.135989378126825	98	C0702	RCC 19
A22B82	BC 57 PE+	0	2	0	4	-4.18156892948587	1	0	1	0	0	0.133049474291099	95	C0702	RCC 19
A22B83	BC 57 PE+	0	0	2	2	-3.64535583176549	1	0	1	0	0	0.0940973504466154	118	C0702	RCC 19
A22B84	BC 57 PE+	0	0	2	3	-3.95117900505349	1	0	1	0	0	0.119009230546837	75	C0702	RCC 19
A23B61	BC 57 PE+	1	1	1	0	0.244326648907977	1	0	1	0	0.0501029308353229	0.0388377720681943	120	C0702	RCC 19
A23B62	BC 57 PE+	1	1	1	1	-0.275260946933543	1	0	1	0	0.0501029308353229	0.0637496521684154	87	C0702	RCC 19
A23B63	BC 57 PE+	2	2	1	0	0.647314208841319	1	0	1	0	0.100205861670646	0.0555387490133019	122	C0702	RCC 19
A23B64	BC 57 PE+	0	0	0	2	-2.75126046120032	1	0	1	0	0	0.0498237602004421	83	C0702	RCC 19
A23B65	BC 57 PE+	0	0	0	0	1.28137060152597e-15	1	0	1	0	0	0	124	C0702	RCC 19
A23B66	BC 57 PE+	0	0	1	0	-1.93978007001262	1	0	1	0	0	0.0221367951230867	125	C0702	RCC 19
A23B67	BC 57 PE+	0	0	0	0	1.28137060152597e-15	1	0	1	0	0	0	126	C0702	RCC 19
A25B61	BC 57 PE+	0	0	3	1	-4.19897957826238	1	0	1	0	0	0.0729713339471199	24	A0201	Virus
A25B62	BC 57 PE+	0	2	2	1	-4.51047415179976	1	0	1	0	0	0.0925897618109753	13	A0201	Virus
A25B63	BC 57 PE+	8	0	1	2	1.15725894658265	1	0	1	0	0.120141183838275	0.0478505285749631	6	A0201	Virus
A25B64	BC 57 PE+	0	0	0	1	-2.39998906846947	1	0	1	0	0	0.0141160503555539	16	A0201	Virus
A25B65	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	5	A0201	Virus
A25B66	BC 57 PE+	0	0	0	1	-2.39998906846947	1	0	1	0	0	0.0141160503555539	10	A0201	Virus
A25B67	BC 57 PE+	0	2	1	1	-3.41606803847175	1	0	1	0	0	0.0295777780294361	20	B0702	Virus
A26B61	BC 57 PE+	1	1	1	5	-2.69318262307631	1	0	1	0	0.0150176479797844	0.10981710750548	3	A0201	Virus
A26B62	BC 57 PE+	0	2	1	1	-3.41606803847175	1	0	1	0	0	0.0295777780294361	14	B0702	Virus
A26B63	BC 57 PE+	0	1	0	5	-3.99420491488769	1	0	1	0	0	0.0473643187801795	21	B0702	Virus
