barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A21B62	BC 71 PE+	2	2	2	2	0.241740071085988	1	0	1	0	0.056790762534825	0.0481521426889705	50	B0702	RCC 19
A21B63	BC 71 PE+	1	4	1	2	-0.883819448030948	1	0	1	0	0.0283953812674125	0.0534704470191	51	B0702	RCC 19
A21B64	BC 71 PE+	1	0	1	0	1.50926328791444	1	0	1	0	0.0283953812674125	0.00946512708913751	52	B0702	RCC 19
A21B65	BC 71 PE+	1	1	0	0	1.52010308803264	1	0	1	0	0.0283953812674125	0.00739171570963352	53	B0702	RCC 19
A21B66	BC 71 PE+	0	0	1	2	-3.11682800733783	1	0	1	0	0	0.0239035841805659	54	B0702	RCC 19
A21B67	BC 71 PE+	0	1	0	0	-1.82801720711433	1	0	1	0	0	0.00739171570963352	55	B0702	RCC 19
A21B68	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	56	B0702	RCC 19
A21B69	BC 71 PE+	2	1	0	1	1.66958799228432	1	0	1	0	0.056790762534825	0.0146109442553477	57	B0702	RCC 19
A21B70	BC 71 PE+	0	0	1	0	-1.95295238432991	1	0	1	0	0	0.0315921671500493	81	C0401	RCC 19
A21B71	BC 71 PE+	0	1	0	1	-2.72885690541953	1	0	1	0	0	0.0421343087356026	82	C0401	RCC 19
A21B72	BC 71 PE+	0	0	0	1	-1.94618409632375	1	0	1	0	0	0.026338225160578	83	C0401	RCC 19
A21B73	BC 71 PE+	1	0	0	0	2.97282693236477	1	0	1	0	0.0547371712898035	0	84	C0401	RCC 19
A21B74	BC 71 PE+	0	0	0	0	1.28137060152597e-15	1	0	1	0	0	0	85	C0401	RCC 19
A21B75	BC 71 PE+	0	0	1	1	-2.76081989566605	1	0	1	0	0	0.0579303923106273	86	C0401	RCC 19
A21B76	BC 71 PE+	0	0	0	0	1.28137060152597e-15	1	0	1	0	0	0	87	C0401	RCC 19
A21B77	BC 71 PE+	2	1	0	0	1.95776510151967	1	0	1	0	0.109474342579607	0.0157960835750247	88	C0401	RCC 19
A21B78	BC 71 PE+	0	1	0	0	-1.92012256091819	1	0	1	0	0	0.0157960835750247	89	C0401	RCC 19
A21B79	BC 71 PE+	0	2	0	6	-4.58654185560341	1	0	1	0	0	0.189621518113517	90	C0401	RCC 19
A21B80	BC 71 PE+	4	5	1	2	0.297245340816696	1	0	1	0	0.218948685159214	0.163249035346329	48	C0401	RCC 19
A21B81	BC 71 PE+	1	4	2	2	-1.58435254224701	1	0	1	0	0.0547371712898035	0.179045118921353	92	C0401	RCC 19
A21B82	BC 71 PE+	1	1	0	1	0.243970026945234	1	0	1	0	0.0547371712898035	0.0421343087356026	93	C0401	RCC 19
A21B83	BC 71 PE+	0	1	1	2	-3.64203827362879	1	0	1	0	0	0.10006470104623	94	C0401	RCC 19
A21B84	BC 71 PE+	0	2	0	1	-3.22554493284521	1	0	1	0	0	0.0579303923106273	95	C0401	RCC 19
A22B61	BC 71 PE+	1	0	1	2	-0.308007484236062	1	0	1	0	0.0547371712898035	0.0842686174712052	96	C0401	RCC 19
A22B62	BC 71 PE+	0	2	0	1	-3.22554493284521	1	0	1	0	0	0.0579303923106273	97	C0401	RCC 19
A22B63	BC 71 PE+	2	2	1	0	0.645905823322627	1	0	1	0	0.109474342579607	0.0631843343000986	98	C0401	RCC 19
A22B64	BC 71 PE+	1	0	1	0	1.01987454803486	1	0	1	0	0.0547371712898035	0.0315921671500493	15	C0401	RCC 19
A22B65	BC 71 PE+	0	1	0	0	-1.81004493389252	1	0	1	0	0	0.014648729267665	93	C0702	RCC 19
A22B66	BC 71 PE+	0	2	0	1	-3.09331554059945	1	0	1	0	0	0.0536044127561664	81	C0702	RCC 19
A22B67	BC 71 PE+	0	0	0	2	-2.62542598100046	1	0	1	0	0	0.0486139084416729	94	C0702	RCC 19
A22B68	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	90	C0702	RCC 19
A22B69	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	104	C0702	RCC 19
A22B70	BC 71 PE+	1	0	0	0	3.38348409708266	1	0	1	0	0.0730213357214336	0	105	C0702	RCC 19
A22B71	BC 71 PE+	1	0	1	1	0.760066884070151	1	0	1	0	0.0730213357214336	0.0473791719878351	106	C0702	RCC 19
A22B72	BC 71 PE+	0	1	0	0	-1.81004493389252	1	0	1	0	0	0.014648729267665	107	C0702	RCC 19
A22B73	BC 71 PE+	1	2	0	1	0.290168556483208	1	0	1	0	0.0730213357214336	0.0536044127561664	96	C0702	RCC 19
A22B74	BC 71 PE+	0	1	0	0	-1.81004493389252	1	0	1	0	0	0.014648729267665	109	C0702	RCC 19
A22B75	BC 71 PE+	0	1	1	0	-2.59973210465991	1	0	1	0	0	0.0377209470346636	110	C0702	RCC 19
A22B76	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	111	C0702	RCC 19
A22B77	BC 71 PE+	1	1	0	0	1.57343916319014	1	0	1	0	0.0730213357214336	0.014648729267665	85	C0702	RCC 19
A22B78	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	88	C0702	RCC 19
A22B79	BC 71 PE+	0	2	1	0	-3.09138661097684	1	0	1	0	0	0.0523696763023286	114	C0702	RCC 19
A22B80	BC 71 PE+	5	0	1	3	2.07100093644236	1	0	1	0	0.365106678607168	0.0959930804295079	115	C0702	RCC 19
A22B81	BC 71 PE+	0	4	2	1	-4.21244518296467	1	0	1	0	0	0.129046306825494	98	C0702	RCC 19
A22B82	BC 71 PE+	1	2	0	4	-0.654255820547274	1	0	1	0	0.0730213357214336	0.126525275418676	95	C0702	RCC 19
A22B83	BC 71 PE+	0	0	2	2	-3.51739966636792	1	0	1	0	0	0.0947583439756702	118	C0702	RCC 19
A22B84	BC 71 PE+	0	0	2	3	-3.82230765021899	1	0	1	0	0	0.119065298196507	75	C0702	RCC 19
A23B61	BC 71 PE+	0	1	1	0	-2.59973210465991	1	0	1	0	0	0.0377209470346636	120	C0702	RCC 19
A23B62	BC 71 PE+	0	1	1	1	-3.11414559965956	1	0	1	0	0	0.0620279012555001	87	C0702	RCC 19
A23B63	BC 71 PE+	0	2	1	0	-3.09138661097684	1	0	1	0	0	0.0523696763023286	122	C0702	RCC 19
A23B64	BC 71 PE+	0	0	0	2	-2.62542598100046	1	0	1	0	0	0.0486139084416729	83	C0702	RCC 19
A23B65	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	124	C0702	RCC 19
A23B66	BC 71 PE+	0	0	1	0	-1.83238245842134	1	0	1	0	0	0.0230722177669987	125	C0702	RCC 19
A23B67	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	126	C0702	RCC 19
A25B61	BC 71 PE+	0	0	3	1	-4.14791142153356	1	0	1	0	0	0.0872500143186486	24	A0201	Virus
A25B62	BC 71 PE+	0	2	2	1	-4.45882847005178	1	0	1	0	0	0.110707281980374	13	A0201	Virus
A25B63	BC 71 PE+	4	0	1	2	0.298902016310981	1	0	1	0	0.0771164159991125	0.0572136903286694	6	A0201	Virus
A25B64	BC 71 PE+	0	0	0	1	-2.35624641829079	1	0	1	0	0	0.0168782113334719	16	A0201	Virus
A25B65	BC 71 PE+	0	0	0	0	0	1	0	1	0	0	0	5	A0201	Virus
A25B66	BC 71 PE+	0	0	0	1	-2.35624641829079	1	0	1	0	0	0.0168782113334719	10	A0201	Virus
A25B67	BC 71 PE+	0	2	1	1	-3.48830479761106	1	0	1	0	0	0.0314677870541188	20	B0702	Virus
A26B61	BC 71 PE+	1	1	1	5	-2.60251499006163	1	0	1	0	0.0192791039997781	0.131305591990811	3	A0201	Virus
A26B62	BC 71 PE+	0	2	1	1	-3.48830479761106	1	0	1	0	0	0.0314677870541188	14	B0702	Virus
A26B63	BC 71 PE+	1	1	0	5	-0.663805166047402	1	0	1	0	0.0283953812674125	0.0434878584382046	21	B0702	Virus
