barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A1B61	BC 59 PE+	0	0	0	0	0	1	0	1	0	0	0	192	A0201	RCC 17
A1B62	BC 59 PE+	1	0	1	0	1.29545588352617	1	0	1	0	0.00955858419539027	0.00318619473179676	193	A0201	RCC 17
A1B63	BC 59 PE+	0	1	0	0	-1.87446911791614	1	0	1	0	0	0.00318619473179676	194	A0201	RCC 17
A1B64	BC 59 PE+	0	0	0	0	0	1	0	1	0	0	0	195	A0201	RCC 17
A1B65	BC 59 PE+	0	2	1	0	-3.16992500144231	1	0	1	0	0	0.00955858419539027	196	A0201	RCC 17
A1B66	BC 59 PE+	1	0	3	1	-0.374395514781497	1	0	1	0	0.00955858419539027	0.012744778927187	197	A0201	RCC 17
A1B67	BC 59 PE+	1	0	1	1	0.506959988719883	1	0	1	0	0.00955858419539027	0.00637238946359351	198	A0201	RCC 17
A1B68	BC 59 PE+	0	1	1	0	-2.66296501272243	1	0	1	0	0	0.00637238946359351	199	A0201	RCC 17
A1B69	BC 59 PE+	0	0	2	3	-3.84130225398094	1	0	1	0	0	0.0159309736589838	200	A0201	RCC 17
A1B70	BC 59 PE+	0	0	0	0	0	1	0	1	0	0	0	201	A0201	RCC 17
A1B71	BC 59 PE+	0	2	3	3	-4.48112668973662	1	0	1	0	0	0.025489557854374	202	A0201	RCC 17
A1B72	BC 59 PE+	0	0	0	2	-2.66296501272243	1	0	1	0	0	0.00637238946359351	203	A0201	RCC 17
A1B73	BC 59 PE+	0	0	1	1	-2.66296501272243	1	0	1	0	0	0.00637238946359351	204	A0201	RCC 17
A1B74	BC 59 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00318619473179676	205	A0201	RCC 17
A1B75	BC 59 PE+	1	0	0	0	3.16992500144231	1	0	1	0	0.00955858419539027	0	206	A0201	RCC 17
A1B76	BC 59 PE+	1	1	1	1	0	1	0	1	0	0.00955858419539027	0.00955858419539027	207	A0201	RCC 17
A1B77	BC 59 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00318619473179676	208	A0201	RCC 17
A1B78	BC 59 PE+	0	0	3	0	-3.16992500144231	1	0	1	0	0	0.00955858419539027	209	A0201	RCC 17
A1B79	BC 59 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00318619473179676	210	A0201	RCC 17
A1B80	BC 59 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00318619473179676	211	A0201	RCC 17
A1B81	BC 59 PE+	0	0	0	0	0	1	0	1	0	0	0	212	A0201	RCC 17
A1B82	BC 59 PE+	2	1	0	1	1.42449782852791	1	0	1	0	0.0191171683907805	0.00637238946359351	213	A0201	RCC 17
A1B83	BC 59 PE+	0	0	2	2	-3.54432051622381	1	0	1	0	0	0.012744778927187	214	A0201	RCC 17
A1B84	BC 59 PE+	0	1	2	3	-4.08746284125034	1	0	1	0	0	0.0191171683907805	215	A0201	RCC 17
A2B61	BC 59 PE+	0	0	0	1	-1.87446911791614	1	0	1	0	0	0.00318619473179676	216	A0201	RCC 17
A2B62	BC 59 PE+	0	0	0	0	0	1	0	1	0	0	0	217	A0201	RCC 17
A2B63	BC 59 PE+	0	1	0	1	-2.66296501272243	1	0	1	0	0	0.00637238946359351	218	A0201	RCC 17
