barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A1B61	BC 69 PE+	0	0	0	0	0	1	0	1	0	0	0	192	A0201	RCC 17
A1B62	BC 69 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00312927549726407	193	A0201	RCC 17
A1B63	BC 69 PE+	0	1	0	0	-1.87446911791614	1	0	1	0	0	0.00312927549726407	194	A0201	RCC 17
A1B64	BC 69 PE+	1	0	0	0	3.16992500144231	1	0	1	0	0.0093878264917922	0	195	A0201	RCC 17
A1B65	BC 69 PE+	1	2	1	0	0	1	0	1	0	0.0093878264917922	0.0093878264917922	196	A0201	RCC 17
A1B66	BC 69 PE+	1	0	3	1	-0.374395514781497	1	0	1	0	0.0093878264917922	0.0125171019890563	197	A0201	RCC 17
A1B67	BC 69 PE+	1	0	1	1	0.506959988719883	1	0	1	0	0.0093878264917922	0.00625855099452814	198	A0201	RCC 17
A1B68	BC 69 PE+	0	1	1	0	-2.66296501272243	1	0	1	0	0	0.00625855099452814	199	A0201	RCC 17
A1B69	BC 69 PE+	1	0	2	3	-0.671377252538629	1	0	1	0	0.0093878264917922	0.0156463774863203	200	A0201	RCC 17
A1B70	BC 69 PE+	0	0	0	0	0	1	0	1	0	0	0	201	A0201	RCC 17
A1B71	BC 69 PE+	1	2	3	3	-1.3112016882943	1	0	1	0	0.0093878264917922	0.0250342039781125	202	A0201	RCC 17
A1B72	BC 69 PE+	0	0	0	2	-2.66296501272243	1	0	1	0	0	0.00625855099452814	203	A0201	RCC 17
A1B73	BC 69 PE+	1	0	1	1	0.506959988719883	1	0	1	0	0.0093878264917922	0.00625855099452814	204	A0201	RCC 17
A1B74	BC 69 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00312927549726407	205	A0201	RCC 17
