barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A1B61	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	192	A0201	RCC 17
A1B62	BC 57 PE+	1	0	1	0	1.29545588352617	1	0	1	0	0.00947128204511325	0.00315709401503775	193	A0201	RCC 17
A1B63	BC 57 PE+	0	1	0	0	-1.87446911791614	1	0	1	0	0	0.00315709401503775	194	A0201	RCC 17
A1B64	BC 57 PE+	1	0	0	0	3.16992500144231	1	0	1	0	0.00947128204511325	0	195	A0201	RCC 17
A1B65	BC 57 PE+	1	2	1	0	1.28137060152597e-15	1	0	1	0	0.00947128204511325	0.00947128204511325	196	A0201	RCC 17
A1B66	BC 57 PE+	0	0	3	1	-3.54432051622381	1	0	1	0	0	0.012628376060151	197	A0201	RCC 17
A1B67	BC 57 PE+	2	0	1	1	1.42449782852791	1	0	1	0	0.0189425640902265	0.0063141880300755	198	A0201	RCC 17
A1B68	BC 57 PE+	0	1	1	0	-2.66296501272243	1	0	1	0	0	0.0063141880300755	199	A0201	RCC 17
A1B69	BC 57 PE+	0	0	2	3	-3.84130225398094	1	0	1	0	0	0.0157854700751887	200	A0201	RCC 17
A1B70	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	201	A0201	RCC 17
A1B71	BC 57 PE+	0	2	3	3	-4.48112668973662	1	0	1	0	0	0.025256752120302	202	A0201	RCC 17
A1B72	BC 57 PE+	0	0	0	2	-2.66296501272243	1	0	1	0	0	0.0063141880300755	203	A0201	RCC 17
A1B73	BC 57 PE+	1	0	1	1	0.506959988719885	1	0	1	0	0.00947128204511325	0.0063141880300755	204	A0201	RCC 17
A1B74	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00315709401503775	205	A0201	RCC 17
A1B75	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	206	A0201	RCC 17
A1B76	BC 57 PE+	0	1	1	1	-3.16992500144231	1	0	1	0	0	0.00947128204511325	207	A0201	RCC 17
A1B77	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00315709401503775	208	A0201	RCC 17
A1B78	BC 57 PE+	1	0	3	0	1.28137060152597e-15	1	0	1	0	0.00947128204511325	0.00947128204511325	209	A0201	RCC 17
A1B79	BC 57 PE+	1	0	1	0	1.29545588352617	1	0	1	0	0.00947128204511325	0.00315709401503775	210	A0201	RCC 17
A1B80	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00315709401503775	211	A0201	RCC 17
A1B81	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	212	A0201	RCC 17
A1B82	BC 57 PE+	0	1	0	1	-2.66296501272243	1	0	1	0	0	0.0063141880300755	213	A0201	RCC 17
A1B83	BC 57 PE+	0	0	2	2	-3.54432051622381	1	0	1	0	0	0.012628376060151	214	A0201	RCC 17
A1B84	BC 57 PE+	2	1	2	3	1.28137060152597e-15	1	0	1	0	0.0189425640902265	0.0189425640902265	215	A0201	RCC 17
A2B61	BC 57 PE+	2	0	0	1	2.2129937233342	1	0	1	0	0.0189425640902265	0.00315709401503775	216	A0201	RCC 17
A2B62	BC 57 PE+	0	0	0	0	0	1	0	1	0	0	0	217	A0201	RCC 17
A2B63	BC 57 PE+	0	1	0	1	-2.66296501272243	1	0	1	0	0	0.0063141880300755	218	A0201	RCC 17
A2B64	BC 57 PE+	0	0	1	1	-2.66296501272243	1	0	1	0	0	0.0063141880300755	219	A0201	RCC 17
A2B65	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00315709401503775	220	A0201	RCC 17
A2B66	BC 57 PE+	1	0	0	0	3.16992500144231	1	0	1	0	0.00947128204511325	0	221	A0201	RCC 17
A2B67	BC 57 PE+	0	0	0	1	-1.87446911791614	1	0	1	0	0	0.00315709401503775	222	A0201	RCC 17
A2B68	BC 57 PE+	1	1	0	0	1.29545588352617	1	0	1	0	0.00947128204511325	0.00315709401503775	223	A0201	RCC 17
A2B69	BC 57 PE+	1	1	0	0	1.29545588352617	1	0	1	0	0.00947128204511325	0.00315709401503775	224	A0201	RCC 17
A2B70	BC 57 PE+	1	0	0	1	1.29545588352617	1	0	1	0	0.00947128204511325	0.00315709401503775	225	A0201	RCC 17
A2B71	BC 57 PE+	2	0	1	0	2.2129937233342	1	0	1	0	0.0189425640902265	0.00315709401503775	226	A0201	RCC 17
A2B72	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00315709401503775	227	A0201	RCC 17
A2B73	BC 57 PE+	2	1	0	1	1.42449782852791	1	0	1	0	0.0189425640902265	0.0063141880300755	228	A0201	RCC 17
A2B74	BC 57 PE+	0	0	0	1	-1.87446911791614	1	0	1	0	0	0.00315709401503775	229	A0201	RCC 17
A2B75	BC 57 PE+	1	0	0	0	3.16992500144231	1	0	1	0	0.00947128204511325	0	230	A0201	RCC 17
A2B76	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00315709401503775	231	A0201	RCC 17
A2B77	BC 57 PE+	2	0	0	2	1.42449782852791	1	0	1	0	0.0189425640902265	0.0063141880300755	232	A0201	RCC 17
A2B78	BC 57 PE+	0	0	1	0	-1.87446911791614	1	0	1	0	0	0.00315709401503775	233	A0201	RCC 17
A2B79	BC 57 PE+	1	1	0	0	1.29545588352617	1	0	1	0	0.00947128204511325	0.00315709401503775	234	A0201	RCC 17
