barcode	sample	count.1	input.1	input.2	input.3	log_fold_change	p	-log10(p)	masked_p (p = 1 if logFC < 0)	-log10(masked_p)	count.normalised (edgeR)	input.normalised (edgeR)	Peptide	HLA	RCC.sample
A19B61	BC 81 PE+	0	1	0	1	-2.66379236340278	1	0	1	0	0	0.00657987729396378	1	A0201	RCC 19
A19B62	BC 81 PE+	0	0	1	5	-4.12447904453304	1	0	1	0	0	0.0230581112712347	2	A0201	RCC 19
A19B63	BC 81 PE+	1	2	1	1	-0.387883384584886	1	0	1	0	0.0101368220307427	0.0133234783727884	3	A0201	RCC 19
A19B64	BC 81 PE+	3	0	1	2	1.43588963615284	1	0	1	0	0.030410466092228	0.0116109175280477	4	A0201	RCC 19
A19B65	BC 81 PE+	0	2	1	0	-3.16373120842058	1	0	1	0	0	0.00950774712505937	5	A0201	RCC 19
A19B66	BC 81 PE+	1	0	0	1	1.27182877258448	1	0	1	0	0.0101368220307427	0.00381573124772898	6	A0201	RCC 19
A19B67	BC 81 PE+	17	0	0	0	7.08256910282947	7.20577623780341e-06	5.14231922822456	7.20577623780341e-06	5.14231922822456	0.172325974522625	0	7	A0201	RCC 19
A19B68	BC 81 PE+	7	0	0	0	5.8175874600367	0.0241518492030219	1.61704961158234	0.0241518492030219	1.61704961158234	0.0709577542151986	0	8	A0201	RCC 19
A19B69	BC 81 PE+	6	0	1	1	2.91882312134245	0.387354551685912	0.411891336404472	0.387354551685912	0.411891336404472	0.0608209321844559	0.00779518628031876	9	A0201	RCC 19
A19B70	BC 81 PE+	7	1	1	1	2.639271790756	0.387354551685912	0.411891336404472	0.387354551685912	0.411891336404472	0.0709577542151986	0.0105593323265536	10	A0201	RCC 19
A19B71	BC 81 PE+	0	1	1	0	-2.66546945878918	1	0	1	0	0	0.00674360107882457	11	A0201	RCC 19
A19B72	BC 81 PE+	6	1	1	0	2.93398268180792	0.387354551685912	0.411891336404472	0.387354551685912	0.411891336404472	0.0608209321844559	0.00674360107882457	12	A0201	RCC 19
A19B73	BC 81 PE+	1	1	1	0	0.490617387756852	1	0	1	0	0.0101368220307427	0.00674360107882457	13	A0201	RCC 19
A19B74	BC 81 PE+	3	0	0	0	4.62890522704857	0.610049833887043	0.21463468679553	0.610049833887043	0.21463468679553	0.030410466092228	0	14	A0201	RCC 19
A19B75	BC 81 PE+	1	0	0	0	3.15608684654603	1	0	1	0	0.0101368220307427	0	15	A0201	RCC 19
A19B76	BC 81 PE+	0	0	0	2	-2.67893665175554	1	0	1	0	0	0.00763146249545796	16	A0201	RCC 19
A19B77	BC 81 PE+	0	1	1	0	-2.66546945878918	1	0	1	0	0	0.00674360107882457	17	A0201	RCC 19
A19B78	BC 81 PE+	0	0	0	0	-1.28137060152597e-15	1	0	1	0	0	0	18	A0201	RCC 19
A19B79	BC 81 PE+	0	0	0	1	-1.88425807396155	1	0	1	0	0	0.00381573124772898	19	A0201	RCC 19
A19B80	BC 81 PE+	0	5	2	4	-4.92105534678291	1	0	1	0	0	0.0370425652872695	20	B0702	RCC 19
A19B81	BC 81 PE+	1	2	1	0	-0.00764436187454708	1	0	1	0	0.0101368220307427	0.00950774712505937	21	B0702	RCC 19
A19B82	BC 81 PE+	0	2	1	3	-4.09766947869544	1	0	1	0	0	0.0209549408682463	22	B0702	RCC 19
A19B83	BC 81 PE+	0	1	2	1	-3.55974409754977	1	0	1	0	0	0.0145387873591433	23	B0702	RCC 19
A19B84	BC 81 PE+	0	7	2	5	-5.24999883137866	0.81871848385035	0.0868654046225398	1	0	0	0.046386588627468	24	B0702	RCC 19
A20B61	BC 81 PE+	0	0	1	1	-2.68062901925464	1	0	1	0	0	0.00779518628031876	25	B0702	RCC 19
A20B62	BC 81 PE+	1	1	1	1	-0.022228822734674	1	0	1	0	0.0101368220307427	0.0105593323265536	26	B0702	RCC 19
A20B63	BC 81 PE+	0	2	4	3	-4.67200524151543	1	0	1	0	0	0.0328933059660157	27	B0702	RCC 19
A20B64	BC 81 PE+	0	0	1	1	-2.68062901925464	1	0	1	0	0	0.00779518628031876	28	B0702	RCC 19
A20B65	BC 81 PE+	0	0	1	0	-1.88598536254598	1	0	1	0	0	0.00397945503258978	29	B0702	RCC 19
A20B66	BC 81 PE+	0	0	1	0	-1.88598536254598	1	0	1	0	0	0.00397945503258978	30	B0702	RCC 19
A20B67	BC 81 PE+	2	0	1	1	1.39217750959161	1	0	1	0	0.0202736440614853	0.00779518628031876	31	B0702	RCC 19
A20B68	BC 81 PE+	0	0	1	1	-2.68062901925464	1	0	1	0	0	0.00779518628031876	32	B0702	RCC 19
A20B69	BC 81 PE+	0	1	0	0	-1.86863460995935	1	0	1	0	0	0.00276414604623479	33	B0702	RCC 19
A20B70	BC 81 PE+	0	0	0	0	-1.28137060152597e-15	1	0	1	0	0	0	34	B0702	RCC 19
A20B71	BC 81 PE+	2	0	1	0	2.18682116630027	1	0	1	0	0.0202736440614853	0.00397945503258978	35	B0702	RCC 19
A20B72	BC 81 PE+	3	0	3	1	1.05326099700361	1	0	1	0	0.030410466092228	0.0157540963454983	36	B0702	RCC 19
A20B73	BC 81 PE+	0	0	0	0	-1.28137060152597e-15	1	0	1	0	0	0	37	B0702	RCC 19
A20B74	BC 81 PE+	1	0	0	0	3.15608684654603	1	0	1	0	0.0101368220307427	0	38	B0702	RCC 19
A20B75	BC 81 PE+	0	0	0	0	-1.28137060152597e-15	1	0	1	0	0	0	39	B0702	RCC 19
A20B76	BC 81 PE+	0	0	0	0	-1.28137060152597e-15	1	0	1	0	0	0	40	B0702	RCC 19
A20B77	BC 81 PE+	0	1	1	0	-2.66546945878918	1	0	1	0	0	0.00674360107882457	41	B0702	RCC 19
A20B78	BC 81 PE+	0	1	0	1	-2.66379236340278	1	0	1	0	0	0.00657987729396378	42	B0702	RCC 19
A20B79	BC 81 PE+	0	2	0	1	-3.16210037353701	1	0	1	0	0	0.00934402334019857	43	B0702	RCC 19
A20B80	BC 81 PE+	0	2	0	0	-2.64878032297664	1	0	1	0	0	0.00552829209246959	44	B0702	RCC 19
A20B81	BC 81 PE+	0	0	1	2	-3.19301559089573	1	0	1	0	0	0.0116109175280477	45	B0702	RCC 19
A20B82	BC 81 PE+	0	0	0	2	-2.67893665175554	1	0	1	0	0	0.00763146249545796	46	B0702	RCC 19
A20B83	BC 81 PE+	0	2	0	0	-2.64878032297664	1	0	1	0	0	0.00552829209246959	47	B0702	RCC 19
A20B84	BC 81 PE+	0	3	2	2	-4.30125840721824	1	0	1	0	0	0.0238828106993419	48	B0702	RCC 19
A21B61	BC 81 PE+	0	1	3	1	-3.8633208556222	1	0	1	0	0	0.0185182423917331	49	B0702	RCC 19
A21B62	BC 81 PE+	0	2	2	2	-4.09920986497931	1	0	1	0	0	0.0211186646531071	50	B0702	RCC 19
A21B63	BC 81 PE+	0	4	1	2	-4.28689229048309	1	0	1	0	0	0.0226675017129869	51	B0702	RCC 19
A21B64	BC 81 PE+	1	0	1	0	1.27010148400004	1	0	1	0	0.0101368220307427	0.00397945503258978	52	B0702	RCC 19
A21B65	BC 81 PE+	0	1	0	0	-1.86863460995935	1	0	1	0	0	0.00276414604623479	53	B0702	RCC 19
A21B66	BC 81 PE+	0	0	1	2	-3.19301559089573	1	0	1	0	0	0.0116109175280477	54	B0702	RCC 19
